Week,Factory,2D消除,EAP重開,過帳異常,關閉比對,其他事項,更新/搬遷,總計
2025-W36,ASEF1,K21(1),K21(1)/K22(1),K21(6)/K22(6),K21(3)/K22(6),K21(2),K22(1),27
2025-W36,ASEF3,K11(12)/K25(3),K11(4)/K25(3),K11(6)/K25(76),K11(108),0,K11(87)/K25(4),304
2025-W36,ASEF5,0,0,K18(3),0,0,0,3
2025-W38,ASEF1,0,0,K21(6)/K22(2),K21(2)/K22(2),K21(1),0,13
2025-W38,ASEF3,K11(15)/K25(3),K11(3)/K25(8),K11(13)/K25(58),K11(72),0,0,172
2025-W38,ASEF5,0,K18(1),K18(7),0,0,0,8
2025-W43,ASEF1,0,K22(2),K21(14),K22(4),K21(2),0,22
2025-W43,ASEF3,K11(5)/K25(16),K11(2)/K25(13),K11(5)/K25(146),K11(76)/K25(10),0,K11(3)/K25(1),277
2025-W43,ASEF5,0,0,K18(1),0,0,0,1
